Brand,Date,Product,Category,City,Price,Quantity,DeliveryTime(min),PaymentMode,Rating,TotalAmount,DeliverySpeed,OrderMonth,OrderWeekday,OrderDay,IsWeekend,RatingCategory
Blinkit,2024-05-31,Atta,Grains,Hyderabad,124,2,14,Cod,1.0,248,Fast,May,Friday,31,False,Low
Zepto,2024-06-01,Biscuits,Bakery,Hyderabad,104,5,18,Upi,3.0,520,Medium,June,Saturday,1,True,Medium
Blinkit,2024-06-02,Eggs,Poultry,Mumbai,150,1,17,Upi,4.0,150,Medium,June,Sunday,2,True,High
Blinkit,2024-06-03,Atta,Grains,Delhi,192,5,22,Cod,3.0,960,Slow,June,Monday,3,False,Medium
Blinkit,2024-06-04,Butter,Dairy,Bangalore,115,2,25,Cod,3.0,230,Slow,June,Tuesday,4,False,Medium
Zepto,2024-06-05,Snacks,Snacks,Hyderabad,80,4,8,Cod,3.0,320,Fast,June,Wednesday,5,False,Medium
Zepto,2024-06-06,Milk,Dairy,Bangalore,79,4,8,Cod,3.0,316,Fast,June,Thursday,6,False,Medium
Blinkit,2024-06-07,Snacks,Snacks,Delhi,59,4,13,Card,3.0,236,Fast,June,Friday,7,False,Medium
Blinkit,2024-06-08,Paneer,Dairy,Bangalore,210,5,15,Card,5.0,1050,Medium,June,Saturday,8,True,High
Blinkit,2024-06-09,Biscuits,Bakery,Chennai,144,1,15,Card,2.0,144,Medium,June,Sunday,9,True,Low
Blinkit,2024-06-10,Rice,Grains,Delhi,73,1,15,Upi,3.0,73,Medium,June,Monday,10,False,Medium
Zepto,2024-06-11,Paneer,Dairy,Mumbai,34,4,9,Cod,1.0,136,Fast,June,Tuesday,11,False,Low
Zepto,2024-06-12,Coke,Beverages,Delhi,228,4,8,Upi,5.0,912,Fast,June,Wednesday,12,False,High
Blinkit,2024-06-13,Biscuits,Bakery,Chennai,170,4,19,Cod,1.0,680,Medium,June,Thursday,13,False,Low
Blinkit,2024-06-14,Eggs,Poultry,Mumbai,184,1,25,Card,3.0,184,Slow,June,Friday,14,False,Medium
Zepto,2024-06-15,Rice,Grains,Chennai,153,1,18,Upi,5.0,153,Medium,June,Saturday,15,True,High
Blinkit,2024-06-16,Rice,Grains,Mumbai,249,3,16,Upi,5.0,747,Medium,June,Sunday,16,True,High
Blinkit,2024-06-17,Biscuits,Bakery,Mumbai,159,1,11,Card,4.0,159,Fast,June,Monday,17,False,High
Zepto,2024-06-18,Paneer,Dairy,Hyderabad,234,3,14,Upi,5.0,702,Fast,June,Tuesday,18,False,High
Blinkit,2024-06-19,Juice,Beverages,Bangalore,204,1,23,Cod,4.0,204,Slow,June,Wednesday,19,False,High
Blinkit,2024-06-20,Juice,Beverages,Delhi,203,4,10,Cod,5.0,812,Fast,June,Thursday,20,False,High
Zepto,2024-06-21,Atta,Grains,Delhi,160,4,18,Upi,5.0,640,Medium,June,Friday,21,False,High
Blinkit,2024-06-22,Rice,Grains,Hyderabad,221,5,24,Upi,5.0,1105,Slow,June,Saturday,22,True,High
Zepto,2024-06-23,Juice,Beverages,Bangalore,238,5,8,Upi,3.0,1190,Fast,June,Sunday,23,True,Medium
Blinkit,2024-06-24,Biscuits,Bakery,Hyderabad,225,2,21,Card,1.0,450,Slow,June,Monday,24,False,Low
Zepto,2024-06-25,Snacks,Snacks,Bangalore,201,5,12,Upi,3.0,1005,Fast,June,Tuesday,25,False,Medium
Blinkit,2024-06-26,Biscuits,Bakery,Bangalore,172,5,23,Upi,3.0,860,Slow,June,Wednesday,26,False,Medium
Zepto,2024-06-27,Biscuits,Bakery,Chennai,184,1,14,Upi,5.0,184,Fast,June,Thursday,27,False,High
Blinkit,2024-06-28,Juice,Beverages,Chennai,142,3,18,Card,2.0,426,Medium,June,Friday,28,False,Low
Blinkit,2024-06-29,Atta,Grains,Chennai,31,4,22,Upi,2.0,124,Slow,June,Saturday,29,True,Low
Zepto,2024-06-30,Bread,Bakery,Chennai,113,3,14,Cod,5.0,339,Fast,June,Sunday,30,True,High
Zepto,2024-07-01,Milk,Dairy,Delhi,208,1,12,Cod,5.0,208,Fast,July,Monday,1,False,High
Zepto,2024-07-02,Juice,Beverages,Bangalore,197,4,16,Card,2.0,788,Medium,July,Tuesday,2,False,Low
Blinkit,2024-07-03,Juice,Beverages,Delhi,104,5,12,Card,3.0,520,Fast,July,Wednesday,3,False,Medium
Blinkit,2024-07-04,Snacks,Snacks,Chennai,202,5,11,Card,2.0,1010,Fast,July,Thursday,4,False,Low
Blinkit,2024-07-05,Butter,Dairy,Chennai,216,4,14,Upi,4.0,864,Fast,July,Friday,5,False,High
Zepto,2024-07-06,Rice,Grains,Delhi,95,5,18,Card,1.0,475,Medium,July,Saturday,6,True,Low
Blinkit,2024-07-07,Butter,Dairy,Bangalore,145,5,25,Card,2.0,725,Slow,July,Sunday,7,True,Low
Blinkit,2024-07-08,Snacks,Snacks,Bangalore,240,5,21,Upi,3.0,1200,Slow,July,Monday,8,False,Medium
Blinkit,2024-07-09,Snacks,Snacks,Bangalore,133,1,25,Upi,2.0,133,Slow,July,Tuesday,9,False,Low
Zepto,2024-07-10,Atta,Grains,Hyderabad,38,5,12,Upi,3.0,190,Fast,July,Wednesday,10,False,Medium
Zepto,2024-07-11,Biscuits,Bakery,Chennai,116,3,9,Upi,1.0,348,Fast,July,Thursday,11,False,Low
Zepto,2024-07-12,Rice,Grains,Chennai,131,5,14,Upi,2.0,655,Fast,July,Friday,12,False,Low
Zepto,2024-07-13,Juice,Beverages,Delhi,37,2,20,Upi,1.0,74,Medium,July,Saturday,13,True,Low
Zepto,2024-07-14,Coke,Beverages,Delhi,49,2,16,Cod,3.0,98,Medium,July,Sunday,14,True,Medium
Zepto,2024-07-15,Snacks,Snacks,Hyderabad,59,3,8,Card,3.0,177,Fast,July,Monday,15,False,Medium
Blinkit,2024-07-16,Paneer,Dairy,Hyderabad,168,3,13,Upi,1.0,504,Fast,July,Tuesday,16,False,Low
Blinkit,2024-07-17,Biscuits,Bakery,Bangalore,167,1,11,Upi,5.0,167,Fast,July,Wednesday,17,False,High
Blinkit,2024-07-18,Milk,Dairy,Delhi,164,1,11,Upi,2.0,164,Fast,July,Thursday,18,False,Low
Blinkit,2024-07-19,Bread,Bakery,Bangalore,136,1,19,Card,2.0,136,Medium,July,Friday,19,False,Low
Zepto,2024-07-20,Coke,Beverages,Hyderabad,97,5,17,Cod,2.0,485,Medium,July,Saturday,20,True,Low
Zepto,2024-07-21,Coke,Beverages,Delhi,56,2,12,Card,4.0,112,Fast,July,Sunday,21,True,High
Blinkit,2024-07-22,Butter,Dairy,Mumbai,36,4,14,Card,5.0,144,Fast,July,Monday,22,False,High
Zepto,2024-07-23,Bread,Bakery,Hyderabad,214,2,15,Card,4.0,428,Medium,July,Tuesday,23,False,High
Zepto,2024-07-24,Biscuits,Bakery,Mumbai,234,2,16,Upi,3.0,468,Medium,July,Wednesday,24,False,Medium
Zepto,2024-07-25,Snacks,Snacks,Delhi,101,1,13,Cod,5.0,101,Fast,July,Thursday,25,False,High
Zepto,2024-07-26,Biscuits,Bakery,Delhi,136,1,11,Cod,2.0,136,Fast,July,Friday,26,False,Low
Blinkit,2024-07-27,Butter,Dairy,Bangalore,219,3,25,Card,5.0,657,Slow,July,Saturday,27,True,High
Blinkit,2024-07-28,Atta,Grains,Delhi,177,4,23,Card,3.0,708,Slow,July,Sunday,28,True,Medium
Zepto,2024-07-29,Coke,Beverages,Delhi,239,2,8,Cod,4.0,478,Fast,July,Monday,29,False,High
Blinkit,2024-07-30,Paneer,Dairy,Hyderabad,128,2,20,Card,5.0,256,Medium,July,Tuesday,30,False,High
Blinkit,2024-07-31,Juice,Beverages,Chennai,249,5,13,Upi,4.0,1245,Fast,July,Wednesday,31,False,High
Zepto,2024-08-01,Juice,Beverages,Hyderabad,124,3,18,Card,2.0,372,Medium,August,Thursday,1,False,Low
Zepto,2024-08-02,Milk,Dairy,Hyderabad,238,4,19,Cod,3.0,952,Medium,August,Friday,2,False,Medium
Zepto,2024-08-03,Bread,Bakery,Bangalore,231,2,18,Cod,5.0,462,Medium,August,Saturday,3,True,High
Zepto,2024-08-04,Eggs,Poultry,Hyderabad,153,1,12,Cod,4.0,153,Fast,August,Sunday,4,True,High
Blinkit,2024-08-05,Bread,Bakery,Bangalore,101,1,19,Card,3.0,101,Medium,August,Monday,5,False,Medium
Zepto,2024-08-06,Milk,Dairy,Mumbai,161,3,19,Card,3.0,483,Medium,August,Tuesday,6,False,Medium
Zepto,2024-08-07,Coke,Beverages,Mumbai,180,3,9,Cod,1.0,540,Fast,August,Wednesday,7,False,Low
Blinkit,2024-08-08,Snacks,Snacks,Mumbai,63,1,24,Card,5.0,63,Slow,August,Thursday,8,False,High
Blinkit,2024-08-09,Rice,Grains,Delhi,64,1,19,Card,3.0,64,Medium,August,Friday,9,False,Medium
Zepto,2024-08-10,Snacks,Snacks,Bangalore,206,3,8,Card,4.0,618,Fast,August,Saturday,10,True,High
Zepto,2024-08-11,Bread,Bakery,Bangalore,89,1,17,Cod,3.0,89,Medium,August,Sunday,11,True,Medium
Blinkit,2024-08-12,Juice,Beverages,Hyderabad,40,1,24,Cod,4.0,40,Slow,August,Monday,12,False,High
Zepto,2024-08-13,Rice,Grains,Mumbai,110,4,9,Cod,1.0,440,Fast,August,Tuesday,13,False,Low
Zepto,2024-08-14,Milk,Dairy,Chennai,180,5,18,Cod,2.0,900,Medium,August,Wednesday,14,False,Low
Blinkit,2024-08-15,Eggs,Poultry,Mumbai,158,1,11,Cod,3.0,158,Fast,August,Thursday,15,False,Medium
Blinkit,2024-08-16,Butter,Dairy,Chennai,73,2,21,Upi,5.0,146,Slow,August,Friday,16,False,High
Zepto,2024-08-17,Eggs,Poultry,Hyderabad,127,1,13,Upi,3.0,127,Fast,August,Saturday,17,True,Medium
Blinkit,2024-08-18,Coke,Beverages,Chennai,157,2,10,Card,2.0,314,Fast,August,Sunday,18,True,Low
Blinkit,2024-08-19,Bread,Bakery,Hyderabad,150,1,17,Card,1.0,150,Medium,August,Monday,19,False,Low
Zepto,2024-08-20,Rice,Grains,Delhi,133,3,12,Card,2.0,399,Fast,August,Tuesday,20,False,Low
Blinkit,2024-08-21,Coke,Beverages,Chennai,153,3,15,Upi,4.0,459,Medium,August,Wednesday,21,False,High
Zepto,2024-08-22,Butter,Dairy,Chennai,96,3,16,Card,4.0,288,Medium,August,Thursday,22,False,High
Blinkit,2024-08-23,Atta,Grains,Bangalore,220,1,18,Card,5.0,220,Medium,August,Friday,23,False,High
Blinkit,2024-08-24,Butter,Dairy,Mumbai,227,1,24,Cod,2.0,227,Slow,August,Saturday,24,True,Low
Blinkit,2024-08-25,Bread,Bakery,Chennai,160,5,16,Cod,4.0,800,Medium,August,Sunday,25,True,High
Zepto,2024-08-26,Milk,Dairy,Delhi,34,1,9,Upi,3.0,34,Fast,August,Monday,26,False,Medium
Blinkit,2024-08-27,Bread,Bakery,Delhi,36,5,20,Card,1.0,180,Medium,August,Tuesday,27,False,Low
Zepto,2024-08-28,Rice,Grains,Delhi,126,1,10,Cod,1.0,126,Fast,August,Wednesday,28,False,Low
Blinkit,2024-08-29,Milk,Dairy,Mumbai,203,2,18,Cod,5.0,406,Medium,August,Thursday,29,False,High
Zepto,2024-08-30,Milk,Dairy,Mumbai,147,3,12,Card,1.0,441,Fast,August,Friday,30,False,Low
Zepto,2024-08-31,Coke,Beverages,Bangalore,80,3,12,Cod,1.0,240,Fast,August,Saturday,31,True,Low
Zepto,2024-09-01,Butter,Dairy,Chennai,231,5,7,Upi,2.0,1155,Fast,September,Sunday,1,True,Low
Zepto,2024-09-02,Rice,Grains,Chennai,168,2,19,Upi,4.0,336,Medium,September,Monday,2,False,High
Zepto,2024-09-03,Paneer,Dairy,Hyderabad,43,1,19,Upi,3.0,43,Medium,September,Tuesday,3,False,Medium
Zepto,2024-09-04,Bread,Bakery,Delhi,57,5,10,Cod,3.0,285,Fast,September,Wednesday,4,False,Medium
Blinkit,2024-09-05,Coke,Beverages,Chennai,191,4,21,Upi,3.0,764,Slow,September,Thursday,5,False,Medium
Blinkit,2024-09-06,Rice,Grains,Hyderabad,139,2,16,Card,1.0,278,Medium,September,Friday,6,False,Low
Zepto,2024-09-07,Rice,Grains,Bangalore,122,3,15,Upi,3.0,366,Medium,September,Saturday,7,True,Medium
Zepto,2024-09-08,Juice,Beverages,Mumbai,222,3,12,Upi,3.0,666,Fast,September,Sunday,8,True,Medium
Zepto,2024-09-09,Paneer,Dairy,Mumbai,229,5,17,Upi,4.0,1145,Medium,September,Monday,9,False,High
Zepto,2024-09-10,Bread,Bakery,Bangalore,39,5,19,Upi,3.0,195,Medium,September,Tuesday,10,False,Medium
Blinkit,2024-09-11,Eggs,Poultry,Chennai,167,5,11,Card,3.0,835,Fast,September,Wednesday,11,False,Medium
Blinkit,2024-09-12,Butter,Dairy,Hyderabad,131,5,22,Card,3.0,655,Slow,September,Thursday,12,False,Medium
Blinkit,2024-09-13,Biscuits,Bakery,Delhi,97,5,12,Upi,3.0,485,Fast,September,Friday,13,False,Medium
Zepto,2024-09-14,Eggs,Poultry,Mumbai,202,4,13,Upi,3.0,808,Fast,September,Saturday,14,True,Medium
Blinkit,2024-09-15,Atta,Grains,Chennai,59,2,19,Upi,2.0,118,Medium,September,Sunday,15,True,Low
Blinkit,2024-09-16,Milk,Dairy,Delhi,123,1,25,Card,2.0,123,Slow,September,Monday,16,False,Low
Zepto,2024-09-17,Bread,Bakery,Hyderabad,74,1,19,Cod,5.0,74,Medium,September,Tuesday,17,False,High
Zepto,2024-09-18,Rice,Grains,Mumbai,197,4,11,Upi,3.0,788,Fast,September,Wednesday,18,False,Medium
Zepto,2024-09-19,Biscuits,Bakery,Bangalore,71,2,11,Cod,1.0,142,Fast,September,Thursday,19,False,Low
Blinkit,2024-09-20,Biscuits,Bakery,Delhi,156,2,10,Card,5.0,312,Fast,September,Friday,20,False,High
Blinkit,2024-09-21,Snacks,Snacks,Delhi,157,4,21,Card,3.0,628,Slow,September,Saturday,21,True,Medium
Blinkit,2024-09-22,Rice,Grains,Chennai,242,5,12,Upi,3.0,1210,Fast,September,Sunday,22,True,Medium
Zepto,2024-09-23,Atta,Grains,Bangalore,50,1,17,Upi,3.0,50,Medium,September,Monday,23,False,Medium
Blinkit,2024-09-24,Biscuits,Bakery,Mumbai,39,5,18,Card,3.0,195,Medium,September,Tuesday,24,False,Medium
Blinkit,2024-09-25,Rice,Grains,Chennai,55,2,22,Card,3.0,110,Slow,September,Wednesday,25,False,Medium
Blinkit,2024-09-26,Milk,Dairy,Hyderabad,145,4,10,Upi,2.0,580,Fast,September,Thursday,26,False,Low
Zepto,2024-09-27,Juice,Beverages,Bangalore,146,2,16,Cod,4.0,292,Medium,September,Friday,27,False,High
Blinkit,2024-09-28,Rice,Grains,Mumbai,193,5,20,Upi,4.0,965,Medium,September,Saturday,28,True,High
Zepto,2024-09-29,Eggs,Poultry,Bangalore,62,2,16,Cod,2.0,124,Medium,September,Sunday,29,True,Low
Zepto,2024-09-30,Snacks,Snacks,Chennai,100,3,8,Cod,3.0,300,Fast,September,Monday,30,False,Medium
Blinkit,2024-10-01,Snacks,Snacks,Delhi,249,1,18,Card,5.0,249,Medium,October,Tuesday,1,False,High
Zepto,2024-10-02,Bread,Bakery,Mumbai,129,4,10,Upi,3.0,516,Fast,October,Wednesday,2,False,Medium
Zepto,2024-10-03,Eggs,Poultry,Chennai,85,3,14,Upi,1.0,255,Fast,October,Thursday,3,False,Low
Blinkit,2024-10-04,Milk,Dairy,Delhi,35,1,11,Card,4.0,35,Fast,October,Friday,4,False,High
Blinkit,2024-10-05,Juice,Beverages,Chennai,223,4,21,Card,3.0,892,Slow,October,Saturday,5,True,Medium
Blinkit,2024-10-06,Paneer,Dairy,Bangalore,136,2,11,Upi,4.0,272,Fast,October,Sunday,6,True,High
Zepto,2024-10-07,Coke,Beverages,Mumbai,119,4,14,Upi,1.0,476,Fast,October,Monday,7,False,Low
Zepto,2024-10-08,Coke,Beverages,Delhi,44,4,15,Upi,3.0,176,Medium,October,Tuesday,8,False,Medium
Zepto,2024-10-09,Coke,Beverages,Hyderabad,230,1,14,Cod,4.0,230,Fast,October,Wednesday,9,False,High
Blinkit,2024-10-10,Paneer,Dairy,Delhi,35,2,19,Cod,3.0,70,Medium,October,Thursday,10,False,Medium
Blinkit,2024-10-11,Snacks,Snacks,Chennai,228,1,21,Cod,2.0,228,Slow,October,Friday,11,False,Low
Zepto,2024-10-12,Eggs,Poultry,Bangalore,100,5,14,Cod,2.0,500,Fast,October,Saturday,12,True,Low
Blinkit,2024-10-13,Biscuits,Bakery,Mumbai,47,3,21,Cod,3.0,141,Slow,October,Sunday,13,True,Medium
Blinkit,2024-10-14,Biscuits,Bakery,Bangalore,194,2,16,Card,3.0,388,Medium,October,Monday,14,False,Medium
Zepto,2024-10-15,Atta,Grains,Mumbai,215,1,8,Card,1.0,215,Fast,October,Tuesday,15,False,Low
Zepto,2024-10-16,Butter,Dairy,Mumbai,156,4,17,Cod,3.0,624,Medium,October,Wednesday,16,False,Medium
Zepto,2024-10-17,Eggs,Poultry,Delhi,42,5,14,Cod,5.0,210,Fast,October,Thursday,17,False,High
Zepto,2024-10-18,Milk,Dairy,Delhi,132,5,16,Cod,3.0,660,Medium,October,Friday,18,False,Medium
Blinkit,2024-10-19,Coke,Beverages,Mumbai,102,4,16,Upi,4.0,408,Medium,October,Saturday,19,True,High
Zepto,2024-10-20,Paneer,Dairy,Mumbai,48,3,14,Upi,2.0,144,Fast,October,Sunday,20,True,Low
Blinkit,2024-10-21,Bread,Bakery,Chennai,229,3,12,Upi,5.0,687,Fast,October,Monday,21,False,High
Blinkit,2024-10-22,Biscuits,Bakery,Delhi,52,2,25,Cod,5.0,104,Slow,October,Tuesday,22,False,High
Zepto,2024-10-23,Atta,Grains,Mumbai,112,1,18,Upi,3.0,112,Medium,October,Wednesday,23,False,Medium
Blinkit,2024-10-24,Butter,Dairy,Delhi,59,4,14,Cod,2.0,236,Fast,October,Thursday,24,False,Low
Zepto,2024-10-25,Atta,Grains,Hyderabad,162,2,10,Upi,3.0,324,Fast,October,Friday,25,False,Medium
Blinkit,2024-10-26,Atta,Grains,Chennai,184,3,18,Cod,1.0,552,Medium,October,Saturday,26,True,Low
Zepto,2024-10-27,Bread,Bakery,Mumbai,113,4,11,Cod,3.0,452,Fast,October,Sunday,27,True,Medium
Blinkit,2024-10-28,Paneer,Dairy,Chennai,158,4,12,Upi,3.0,632,Fast,October,Monday,28,False,Medium
Blinkit,2024-10-29,Eggs,Poultry,Bangalore,189,5,22,Upi,4.0,945,Slow,October,Tuesday,29,False,High
Zepto,2024-10-30,Juice,Beverages,Chennai,98,5,19,Cod,3.0,490,Medium,October,Wednesday,30,False,Medium
Blinkit,2024-10-31,Paneer,Dairy,Delhi,162,2,13,Card,4.0,324,Fast,October,Thursday,31,False,High
Zepto,2024-11-01,Paneer,Dairy,Chennai,56,1,20,Cod,4.0,56,Medium,November,Friday,1,False,High
Blinkit,2024-11-02,Paneer,Dairy,Mumbai,197,3,22,Cod,2.0,591,Slow,November,Saturday,2,True,Low
Blinkit,2024-11-03,Snacks,Snacks,Hyderabad,38,4,12,Upi,3.0,152,Fast,November,Sunday,3,True,Medium
Zepto,2024-11-04,Bread,Bakery,Bangalore,91,2,10,Cod,2.0,182,Fast,November,Monday,4,False,Low
Blinkit,2024-11-05,Paneer,Dairy,Chennai,245,4,19,Cod,3.0,980,Medium,November,Tuesday,5,False,Medium
Blinkit,2024-11-06,Biscuits,Bakery,Delhi,68,2,21,Cod,3.0,136,Slow,November,Wednesday,6,False,Medium
Blinkit,2024-11-07,Bread,Bakery,Mumbai,194,1,16,Cod,3.0,194,Medium,November,Thursday,7,False,Medium
Zepto,2024-11-08,Eggs,Poultry,Delhi,216,1,9,Cod,3.0,216,Fast,November,Friday,8,False,Medium
Zepto,2024-11-09,Atta,Grains,Bangalore,42,1,17,Upi,4.0,42,Medium,November,Saturday,9,True,High
Blinkit,2024-11-10,Rice,Grains,Delhi,215,3,21,Upi,5.0,645,Slow,November,Sunday,10,True,High
Blinkit,2024-11-11,Butter,Dairy,Bangalore,64,3,12,Upi,3.0,192,Fast,November,Monday,11,False,Medium
